auction_name,auction_role,auction_country,player_id,matched_registry_name,tier,confidence,note
Will Jacks,ALL-ROUNDER,England,9caf69a1,WG Jacks,2-fuzzy,93.3,
Azmatullah Omarzai,ALL-ROUNDER,Afghanistan,8f6dd463,Azmatullah Omarzai,1-exact,,
R. Sai Kishore,ALL-ROUNDER,India,c7a995d3,R Sai Kishore,1-exact,,
Romario Shepherd,ALL-ROUNDER,West Indies,c5aef772,R Shepherd,1b-abbrev-exact,,
Tom Banton,WICKETKEEPER,England,25f7b7d6,T Banton,1b-abbrev-exact,,
Sam Billings,WICKETKEEPER,England,c16d4035,SW Billings,2-fuzzy,95.2,
Jordan Cox,WICKETKEEPER,England,ff154ecd,JM Cox,2-fuzzy,90.9,
Ben McDermott,WICKETKEEPER,Australia,c41043e6,BR McDermott,2-fuzzy,95.7,
Kusal Mendis,WICKETKEEPER,Sri Lanka,5d1e7582,BKG Mendis,B-manual,,manual: confirmed distinct from Kamindu Mendis collision
Kusal Perera,WICKETKEEPER,Sri Lanka,f21043a5,MDKJ Perera,B-manual,,manual: Sri Lanka/Wicketkeeper - role+country exact
Josh Philippe,WICKETKEEPER,Australia,39086549,JR Philippe,2-fuzzy,95.2,
Tim Seifert,WICKETKEEPER,New Zealand,4663bd23,TL Seifert,2-fuzzy,94.7,
Nandre Burger,BOWLER,South Africa,465aa633,N Burger,1b-abbrev-exact,,
Spencer Johnson,BOWLER,Australia,83c3e8e3,SH Johnson,2-fuzzy,94.7,
Umran Malik,BOWLER,India,81c08fa3,Umran Malik,1-exact,,
Mustafizur Rahman,BOWLER,Bangladesh,0a8fce53,Mustafizur Rahman,1-exact,,
Ishant Sharma,BOWLER,India,5bb1a1c4,I Sharma,1b-abbrev-exact,,
Nuwan Thushara,BOWLER,Sri Lanka,ee1b6c27,N Thushara,1b-abbrev-exact,,
Naveen Ul Haq,BOWLER,Afghanistan,c0c411cb,Naveen-ul-Haq,1-exact,,
Jaydev Unadkat,BOWLER,India,1e66c162,JD Unadkat,2-fuzzy,94.7,
Umesh Yadav,BOWLER,India,cc1e8c68,UT Yadav,A-auto,,"manual: UT+surname, first-initial"
Rishad Hossain,BOWLER,Bangladesh,5935d694,Rishad Hossain,1-exact,,
Zahir Khan Pakten,BOWLER,Afghanistan,786b7fe8,Zahir Khan,B-manual,,manual: Afghanistan spinner
Nqabayomzi Peter,BOWLER,South Africa,212aeedd,N Peter,1b-abbrev-exact,,
Tanveer Sangha,BOWLER,Australia,52c952d9,T Sangha,1b-abbrev-exact,,
Tabraiz Shamsi,BOWLER,South Africa,a03bba42,T Shamsi,1b-abbrev-exact,,
Jeffery Vandersay,BOWLER,Sri Lanka,aceb7654,JDF Vandersay,2-fuzzy,91.7,
Sachin Baby,BATTER,India,dc9dd038,Sachin Baby,1-exact,,
Priyam Garg,BATTER,India,bb965e9a,PK Garg,A-auto,,"manual: PK+surname, first-initial"
Harnoor Pannu,BATTER,India,,,3-nomatch,,best fuzzy candidate only 66.7: Arpit Pannu
Smaran Ravichandran,BATTER,India,,,3-country-conflict,,"reverted: S Ravichandran matched to Japan; wrong country, no alternative found"
Shashwat Rawat,BATTER,India,7e435410,Shashwat Rawat,1-exact,,
Andre Siddarth,BATTER,India,,,3-nomatch,,best fuzzy candidate only 85.7: M Siddharth
Avneesh Sudha,BATTER,India,126e8cb3,Avneesh Sudha,1-exact,,
Apoorv Wankhade,BATTER,India,5708d0b6,AV Wankhade,2-fuzzy,95.2,
Yudhvir Charak,ALL-ROUNDER,India,,,3-nomatch,,best fuzzy candidate only 70.6: YR Sharma
Rishi Dhawan,ALL-ROUNDER,India,26a85969,R Dhawan,1b-abbrev-exact,,
Rajvardhan Hangargekar,ALL-ROUNDER,India,c3c92b42,RS Hangargekar,2-fuzzy,96.3,
Tanush Kotian,ALL-ROUNDER,India,5724e517,Tanush Kotian,1-exact,,
Arshin Kulkarni,ALL-ROUNDER,India,2d140b79,AA Kulkarni,A-auto,,"manual: AA+surname, first-initial"
Shams Mulani,ALL-ROUNDER,India,9d704f6f,SZ Mulani,2-fuzzy,94.1,
Shivam Singh,ALL-ROUNDER,India,e1d9ae9c,Shivam Singh,1-exact,,
Lalit Yadav,ALL-ROUNDER,India,ad427b5c,Lalit Yadav,1-exact,,
Mohammed Azharuddeen,WICKETKEEPER,India,4ae89f36,Mohammed Azharuddeen,1-exact,,
L.R Chethan,WICKETKEEPER,India,7ccfdbcb,LR Chethan,1-exact,,
Aryaman Singh Dhaliwal,WICKETKEEPER,India,,,3-nomatch,,best fuzzy candidate only 66.7: AS Dale
Urvil Patel,WICKETKEEPER,India,cf59b3f0,Urvil Patel,1-exact,,
Sanskar Rawat,WICKETKEEPER,India,,,3-nomatch,,best fuzzy candidate only 80.0: Shankar Rana
